"","X","sws_rs","sws_gb","sws_ms","sws_fa","sws_rw","sws_total"
"1","zALFF_17Networks_1",NA,NA,NA,0.00074821658516314,NA,NA
"2","zReHo_17Networks_LH_SomMotA_5",NA,NA,0.032758954603058,NA,NA,NA
"3","zfALFF_rHipp_L",0.0482096635524709,NA,NA,NA,NA,0.0263287453365313
"4","zfALFF_mAmyg_L",NA,NA,NA,NA,NA,0.0373950522283716
"5","zfALFF_17Networks_RH_ContA_PFCl_4",0.0491173670618036,NA,NA,NA,NA,NA
"6","zfALFF_17Networks_RH_ContA_PFCl_1",0.0215990229180621,NA,NA,NA,NA,NA
"7","zfALFF_17Networks_RH_SalVentAttnB_PFCl_1",0.0366565465026144,NA,NA,NA,NA,0.0386822826740231
"8","zfALFF_17Networks_RH_SalVentAttnB_PFClv_1",0.0439770999150967,NA,NA,NA,NA,NA
"9","zfALFF_17Networks_RH_SomMotB_S2_6",0.00319358468562939,NA,NA,NA,NA,NA
"10","zfALFF_17Networks_RH_SomMotB_S2_1",0.00482433478494026,NA,NA,NA,NA,NA
"11","zfALFF_17Networks_RH_SomMotA_1",NA,NA,NA,0.0343756595009929,NA,0.0357665737675486
"12","zfALFF_17Networks_LH_LimbicA_TempPole_6",NA,NA,NA,0.0349405940836076,NA,0.00486691397196882
"13","zfALFF_17Networks_LH_SalVentAttnA_Ins_1",0.0109490529484189,NA,NA,NA,NA,0.0101323306201067
"14","zDCbin_17Networks_LH_SalVentAttnA_FrMed_2",NA,NA,NA,NA,0.0399598094779774,NA
"15","zDCbin_17Networks_LH_SalVentAttnA_FrMed_1",NA,NA,NA,NA,0.0227958098861275,NA
